2.65E+00,4.85E+00,3.20E+00,3.50E+00,2.10E+00,2.30E+00,2.40E+00,3.05E+00,2.40E+00,2.45E+00,2.00E+00,3.60E+00,2.20E+00,2.45E+00,3.75E+00,3.85E+00,4.15E+00,2.45E+00,4.15E+00,2.00E+00,2.40E+00,2.65E+00,4.10E+00,2.95E+00,3.00E+00,4.75E+00,2.70E+00,3.30E+00,3.40E+00,2.05E+00,2.80E+00,1.90E+00,3.20E+00,3.85E+00,2.75E+00,3.15E+00,2.40E+00,2.10E+00,3.20E+00,4.05E+00,3.00E+00,2.80E+00,3.20E+00,3.25E+00,2.05E+00,2.55E+00,3.70E+00,3.00E+00,5.05E+00
4.85E-01,4.08E-01,4.71E-01,4.72E-01,4.90E-01,4.59E-01,4.94E-01,4.52E-01,5.42E-01,4.85E-01,4.81E-01,4.50E-01,4.81E-01,4.53E-01,4.45E-01,4.55E-01,4.81E-01,4.99E-01,4.52E-01,4.50E-01,4.79E-01,4.69E-01,4.50E-01,4.83E-01,4.65E-01,4.67E-01,4.48E-01,4.58E-01,4.30E-01,4.81E-01,4.77E-01,5.23E-01,4.78E-01,4.53E-01,4.68E-01,4.58E-01,4.69E-01,4.78E-01,4.73E-01,4.50E-01,4.79E-01,4.80E-01,4.06E-01,4.54E-01,4.70E-01,4.59E-01,4.71E-01,4.50E-01,4.36E-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.65E+00,4.85E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.85E+00,4.08E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.20E+00,4.71E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.50E+00,4.72E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.10E+00,4.90E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.30E+00,4.59E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.40E+00,4.94E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.05E+00,4.52E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.40E+00,5.42E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.45E+00,4.85E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.00E+00,4.81E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.60E+00,4.50E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.20E+00,4.81E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.45E+00,4.53E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.75E+00,4.45E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.85E+00,4.55E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.15E+00,4.81E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.45E+00,4.99E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
